Company Name,State,HIOS ID,MM Individual,MM Small Group,Expected Reinsurance,Expected Risk Adjustment Individual,Expected Risk Adjustment Small Group,Actual Reinsurance,Actual Risk Adjustment Individual,Actual Risk Adjustment Small Group,Nonprofit,Expected Reinsurance Per Member Month,Actual Reinsurance Per Member Month,Expected Risk Adjustment Per Member Month Individual,Actual Risk Adjustment Per Member Month Individual,Expected Risk Adjustment Per Member Month Small Group,Actual Risk Adjustment Per Member Month Small Group,Difference in Reinsurance Per Member Month,Difference in Risk Adjustment Individual Per Member Month,Difference in Risk Adjustment Small Group Per Member Month
TransAmerica Premier Life Insurance,Virginia,72073,12,,,,,,,,No,0.00,0.00,0.00,0.00,#DIV/0!,#DIV/0!,0.00,0.00,#DIV/0!
American National Life Insurance Company of Texas,Massachusetts,72108,268,,,,,,,,No,0.00,0.00,0.00,0.00,#DIV/0!,#DIV/0!,0.00,0.00,#DIV/0!
TransAmerica Premier Life Insurance,Louisiana,72134,,,,,,,,,No,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
"Independence Hospital Indemnity Plan, Inc.",Pennsylvania,72145,,,,,,,,,Yes,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
American Heritage Life Insurance Company,Tennessee,72220,,,,,,,,,No,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
Unified Life Insurance Company,Nebraska,72234,0,,0,0,,,,,No,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
American States Insurance Company,Idaho,72235,,,,,,,,,No,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
Reliance Standard Life Insurance Company,Tennessee,72254,,,,,,,,,No,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
Kanawha Insurance Company ,Kentucky,72267,405,,,,,,,,No,0.00,0.00,0.00,0.00,#DIV/0!,#DIV/0!,0.00,0.00,#DIV/0!
National Foundation Life Insurance Company,Kentucky,72279,36,,0,0,,,,,No,0.00,0.00,0.00,0.00,#DIV/0!,#DIV/0!,0.00,0.00,#DIV/0!
Humana Insurance Company,Minnesota,72322,20,,,,,,,,No,0.00,0.00,0.00,0.00,#DIV/0!,#DIV/0!,0.00,0.00,#DIV/0!
National Foundation Life Insurance Company,Wyoming,72342,108,,0,0,,,,,No,0.00,0.00,0.00,0.00,#DIV/0!,#DIV/0!,0.00,0.00,#DIV/0!
AMERICAN FIDELITY ASSURANCE COMPANY,Arkansas,72347,,,,,,,,,No,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
American Income Life Insurance Co,Virginia,72423,,,,,,,,,No,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
Globe Life and Accident Insurance Co,New Mexico,72431,,,,,,,,,No,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
Trustmark Insurance Company,Indiana,72542,,,,,,,,,No,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
WMI Mutual Insurance Company,Washington,72580,,,,,,,,,No,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
New Era Life Insurance Company,Arkansas,72624,36,,,,,,,,No,0.00,0.00,0.00,0.00,#DIV/0!,#DIV/0!,0.00,0.00,#DIV/0!
American National Insurance Company,Nebraska,72666,24,,,,,,,,No,0.00,0.00,0.00,0.00,#DIV/0!,#DIV/0!,0.00,0.00,#DIV/0!
Reliance Standard Life Insurance Company,New Jersey,72667,,,,,,,,,No,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
Standard Life and Accident Insurance Company,Nevada,72685,261,,,,,,,,No,0.00,0.00,0.00,0.00,#DIV/0!,#DIV/0!,0.00,0.00,#DIV/0!
New Era Life Insurance Company,Washington,72772,,,,,,,,,No,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
Freedom Life Insurance Company of America,Georgia,72796,1023,,0,370.93,,0.00,370.93,$-,No,0.00,0.00,0.36,0.36,#DIV/0!,#VALUE!,0.00,0.00,#VALUE!
Companion Life Insurance Company,Virginia,72869,114,,,,,,,,No,0.00,0.00,0.00,0.00,#DIV/0!,#DIV/0!,0.00,0.00,#DIV/0!
4 Ever Life Insurance Company,Michigan,72888,0,,,,,,,,No,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
American Income Life Insurance Co,Tennessee,72924,,,,,,,,,No,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
National Foundation Life Insurance Company,Indiana,72981,346,,0,0,,,,,No,0.00,0.00,0.00,0.00,#DIV/0!,#DIV/0!,0.00,0.00,#DIV/0!
The United States Life Ins. Co. in the City of New York,Oregon,73078,3078,,,,,,,,No,0.00,0.00,0.00,0.00,#DIV/0!,#DIV/0!,0.00,0.00,#DIV/0!
United Teachers Associates,Arizona,73133,0,,,,,,,,No,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
TransAmerica Premier Life Insurance,Mississippi,73165,,,,,,,,,No,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
Nationwide Life Insurance Company,Tennessee,73207,12,,,,,,,,No,0.00,0.00,0.00,0.00,#DIV/0!,#DIV/0!,0.00,0.00,#DIV/0!
American Heritage Life Insurance Company,Delaware,73214,,,,,,,,,No,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
Life of America,Arizona,73277,36,,,,,,,,No,0.00,0.00,0.00,0.00,#DIV/0!,#DIV/0!,0.00,0.00,#DIV/0!
Globe Life and Accident Insurance Co,Minnesota,73305,,,,,,,,,No,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
Thrivent Financial for Lutherans,Ohio,73445,,,,,,,,,No,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
Central United Life Insurance Company,Texas,73464,,,,,,,,,No,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
TransAmerica Premier Life Insurance,Rhode Island,73530,,,,,,,,,No,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
First Allmerica Financial Life Ins. Co,North Carolina,73576,,,,,,,,,No,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
American Heritage Life Insurance Company,Oklahoma,73759,,,,,,,,,No,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
Transamerica Life Insurance Company,South Dakota,73764,,,,,,,,,No,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
United American Insurance Co,New York,73773,,,,,,,,,No,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
Standard Security Life Insurance Company of New York,Idaho,74057,,,,,,,,,No,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
Transamerica Life Insurance Company,North Carolina,74074,,,,,,,,,No,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
"Humana Health Plan, Inc.",Virginia,74100,,,,,,,,,No,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
American Republic Insurance Company,Montana,74184,,,,,,,,,No,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
Wilton Reassurance Company,Oregon,74231,283,,,,,,,,No,0.00,0.00,0.00,0.00,#DIV/0!,#DIV/0!,0.00,0.00,#DIV/0!
Mutual of Omaha Insurance Company,Mississippi,74273,,,,,,,,,No,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
Oscar Insurance Corporation,New York,74289,416880,,19778819.31,-30977083.32,,19771125.40,-30977083.32,$-,No,47.44,47.43,-74.31,-74.31,#DIV/0!,#VALUE!,-0.02,0.00,#VALUE!
Globe Life and Accident Insurance Co,Connecticut,74332,,,,,,,,,No,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
American States Insurance Company,Tennessee,74564,,,,,,,,,No,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
Liberty National Life Insurance Co,New York,74611,,,,,,,,,No,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
New Era Life Insurance Company,South Dakota,74636,64,,,,,,,,No,0.00,0.00,0.00,0.00,#DIV/0!,#DIV/0!,0.00,0.00,#DIV/0!
Celtic Insurance Company,Connecticut,74684,0,,0,0,,,,,No,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
American General Life Insurance Company,Georgia,74719,17688,,,,,,,,No,0.00,0.00,0.00,0.00,#DIV/0!,#DIV/0!,0.00,0.00,#DIV/0!
The United States Life Ins. Co. in the City of New York,Wyoming,74749,756,,,,,,,,No,0.00,0.00,0.00,0.00,#DIV/0!,#DIV/0!,0.00,0.00,#DIV/0!
Transamerica Life Insurance Company,Massachusetts,74754,,,,,,,,,No,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
Celtic Insurance Company,Massachusetts,74932,0,,0,0,,,,,No,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
Globe Life and Accident Insurance Co,Wyoming,74941,,,,,,,,,No,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
Central United Life Insurance Company,Nebraska,74965,,,,,,,,,No,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
Unified Life Insurance Company,Tennessee,74986,0,,0,0,,,,,No,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
United Teachers Associates,Delaware,75003,0,,,,,,,,No,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
Reliance Standard Life Insurance Company,Connecticut,75053,,,,,,,,,No,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
Trustmark Insurance Company,Michigan,75225,,,,,,,,,No,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
Kanawha Insurance Company ,Massachusetts,75295,591,,,,,,,,No,0.00,0.00,0.00,0.00,#DIV/0!,#DIV/0!,0.00,0.00,#DIV/0!
The United States Life Ins. Co. in the City of New York,Arkansas,75393,2272,,,,,,,,No,0.00,0.00,0.00,0.00,#DIV/0!,#DIV/0!,0.00,0.00,#DIV/0!
Companion Life Insurance Company,West Virginia,75441,51,,,,,,,,No,0.00,0.00,0.00,0.00,#DIV/0!,#DIV/0!,0.00,0.00,#DIV/0!
Globe Life and Accident Insurance Co,New Jersey,75553,,,,,,,,,No,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
Liberty Mutual Insurance Company,Alabama,75687,,,,,,,,,No,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
Standard Life and Accident Insurance Company,Indiana,75703,387,,,,,,,,No,0.00,0.00,0.00,0.00,#DIV/0!,#DIV/0!,0.00,0.00,#DIV/0!
American National Insurance Company,Texas,75806,1599,,,,,,,,No,0.00,0.00,0.00,0.00,#DIV/0!,#DIV/0!,0.00,0.00,#DIV/0!
Celtic Insurance Company,New Hampshire,75841,18,,112645.32,110166,,112703.95,110166.00,$-,No,6258.07,6261.33,6120.33,6120.33,#DIV/0!,#VALUE!,3.26,0.00,#VALUE!
Freedom Life Insurance Company of America,Arizona,75849,172,,4144.31,58268.68,,4146.48,168620.34,$-,No,24.09,24.11,338.77,980.35,#DIV/0!,#VALUE!,0.01,641.58,#VALUE!
United American Insurance Co,California,75880,,,,,,,,,No,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
Globe Life and Accident Insurance Co,Delaware,75885,,,,,,,,,No,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
Companion Life Insurance Company,Washington,75928,,,,,,,,,No,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
Philadelphia American Life Insurance Company,New Mexico,76010,,,,,,,,,No,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
Philadelphia American Life Insurance Company,New Jersey,76125,12,,,,,,,,No,0.00,0.00,0.00,0.00,#DIV/0!,#DIV/0!,0.00,0.00,#DIV/0!
Thrivent Financial for Lutherans,New Mexico,76153,,,,,,,,,No,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
Celtic Insurance Company,Indiana,76179,158525,,3088183.45,-8072457.49,,0.00,-8090.12,$-,No,19.48,0.00,-50.92,-0.05,#DIV/0!,#VALUE!,-19.48,50.87,#VALUE!
United American Insurance Co,Florida,76373,,,,,,,,,No,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
National Foundation Life Insurance Company,Texas,76388,3196,,0,0,,,,,No,0.00,0.00,0.00,0.00,#DIV/0!,#DIV/0!,0.00,0.00,#DIV/0!
Washington National Insurance Company,Florida,76397,,,,,,,,,No,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
Standard Security Life Insurance Company of New York,Tennessee,76799,,,,,,,,,No,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
Hartford Life Insurance Company,New York,76820,158,,0,0,,,,,No,0.00,0.00,0.00,0.00,#DIV/0!,#DIV/0!,0.00,0.00,#DIV/0!
American Progressive Life & Health Insurance Company of New York,New Jersey,76823,906,,,,,,,,No,0.00,0.00,0.00,0.00,#DIV/0!,#DIV/0!,0.00,0.00,#DIV/0!
American Income Life Insurance Co,Idaho,76898,,,,,,,,,No,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
"ConnectiCare Benefits, Inc.",Connecticut,76962,439258,,20626712.98,4456585,,20637447.76,4456584.71,$-,No,46.96,46.98,10.15,10.15,#DIV/0!,#VALUE!,0.02,0.00,#VALUE!
Reliance Standard Life Insurance Company,North Carolina,76994,,,,,,,,,No,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
The United States Life Ins. Co. in the City of New York,California,77064,58075,,,,,,,,No,0.00,0.00,0.00,0.00,#DIV/0!,#DIV/0!,0.00,0.00,#DIV/0!
Medico Corp Life Insurance Company,North Carolina,77120,,,,,,,,,No,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
New Era Life Insurance Company,West Virginia,77132,24,,,,,,,,No,0.00,0.00,0.00,0.00,#DIV/0!,#DIV/0!,0.00,0.00,#DIV/0!
United Teachers Associates,District of Columbia,77265,0,,,,,,,,No,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
Health Net Life Insurance Company,Washington,77339,,,,,,,,,No,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
American Income Life Insurance Co,West Virginia,77393,,,,,,,,,No,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
Pekin Life Insurance Company,Texas,77444,,,,,,,,,No,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
Liberty National Life Insurance Co,North Carolina,77470,,,,,,,,,No,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
United American Insurance Co,Delaware,77500,,,,,,,,,No,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
CareSource,Ohio,77552,489641,,9239804,-16725739,,9244613.09,-16752738.98,$-,Yes,18.87,18.88,-34.16,-34.21,#DIV/0!,#VALUE!,0.01,-0.06,#VALUE!
The Prudential Insurance Company of America,Idaho,77555,,,,,,,,,No,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
American National Insurance Company,Guam,77627,356,,,,,,,,No,0.00,0.00,0.00,0.00,#DIV/0!,#DIV/0!,0.00,0.00,#DIV/0!
American Heritage Life Insurance Company,Indiana,77712,,,,,,,,,No,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
American General Life Insurance Company,Puerto Rico,77879,0,,,,,,,,No,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
National Foundation Life Insurance Company,Louisiana,77883,36,,0,0,,,,,No,0.00,0.00,0.00,0.00,#DIV/0!,#DIV/0!,0.00,0.00,#DIV/0!
American Heritage Life Insurance Company,Hawaii,77998,,,,,,,,,No,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
Standard Security Life Insurance Company of New York,Utah,78022,,,,,,,,,No,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
Liberty National Life Insurance Co,Ohio,78063,,,,,,,,,No,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
Transamerica Life Insurance Company,Maine,78087,,,,,,,,,No,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
American National Life Insurance Company of Texas,Mississippi,78157,2768,,,,,,,,No,0.00,0.00,0.00,0.00,#DIV/0!,#DIV/0!,0.00,0.00,#DIV/0!
American Heritage Life Insurance Company,Wyoming,78170,,,,,,,,,No,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
The Prudential Insurance Company of America,Tennessee,78290,,,,,,,,,No,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
Freedom Life Insurance Company of America,Michigan,78302,342,,0,0,,,,,No,0.00,0.00,0.00,0.00,#DIV/0!,#DIV/0!,0.00,0.00,#DIV/0!
Hartford Life & Accident Insurance Company,Florida,78366,48,,0,0,,,,,No,0.00,0.00,0.00,0.00,#DIV/0!,#DIV/0!,0.00,0.00,#DIV/0!
American Income Life Insurance Co,New Hampshire,78398,,,,,,,,,No,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
New Era Life Insurance Company,Alabama,78415,96,,,,,,,,No,0.00,0.00,0.00,0.00,#DIV/0!,#DIV/0!,0.00,0.00,#DIV/0!
Humana Insurance Company,New Jersey,78462,,,,,,,,,No,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
American Heritage Life Insurance Company,Idaho,78487,,,,,,,,,No,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
The Prudential Insurance Company of America,Utah,78492,,,,,,,,,No,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
Companion Life Insurance Company,Maine,78496,,,,,,,,,No,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
Companion Life Insurance Company,Nebraska,78502,69,,,,,,,,No,0.00,0.00,0.00,0.00,#DIV/0!,#DIV/0!,0.00,0.00,#DIV/0!
National Foundation Life Insurance Company,Oklahoma,78544,257,,0,0,,,,,No,0.00,0.00,0.00,0.00,#DIV/0!,#DIV/0!,0.00,0.00,#DIV/0!
The Guardian Life Insurance Company of America,Connecticut,78581,59,,,,,,,,No,0.00,0.00,0.00,0.00,#DIV/0!,#DIV/0!,0.00,0.00,#DIV/0!
Globe Life and Accident Insurance Co,Colorado,78590,,,,,,,,,No,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
Liberty National Life Insurance Co,Tennessee,78620,,,,,,,,,No,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
Union Fidelity Life Insurance Company,Virginia,78627,,,,,,,,,No,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
Unified Life Insurance Company,Minnesota,78641,12,,0,0,,,,,No,0.00,0.00,0.00,0.00,#DIV/0!,#DIV/0!,0.00,0.00,#DIV/0!
Central United Life Insurance Company,New Hampshire,78668,,,,,,,,,No,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
United States Branch of the Sun Life Assurance Company of Canada,Wisconsin,78790,,,,,,,,,No,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
American National Life Insurance Company of Texas,New Mexico,78857,425,,,,,,,,No,0.00,0.00,0.00,0.00,#DIV/0!,#DIV/0!,0.00,0.00,#DIV/0!
Unified Life Insurance Company,California,79024,48,,0,0,,,,,No,0.00,0.00,0.00,0.00,#DIV/0!,#DIV/0!,0.00,0.00,#DIV/0!
Standard Security Life Insurance Company of New York,Florida,79085,,,,,,,,,No,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
Liberty Mutual Insurance Company,Hawaii,79087,,,,,,,,,No,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
The United States Life Ins. Co. in the City of New York,Puerto Rico,79097,1993,,,,,,,,No,0.00,0.00,0.00,0.00,#DIV/0!,#DIV/0!,0.00,0.00,#DIV/0!
Trustmark Insurance Company,North Carolina,79102,,,,,,,,,No,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
Standard Life and Accident Insurance Company,South Dakota,79133,12,,,,,,,,No,0.00,0.00,0.00,0.00,#DIV/0!,#DIV/0!,0.00,0.00,#DIV/0!
American Heritage Life Insurance Company,Ohio,79138,,,,,,,,,No,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
Reserve National Insurance Company,Vermont,79250,,,,,,,,,No,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
United American Insurance Co,Kansas,79254,,,,,,,,,No,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
American General Life Insurance Company,West Virginia,79271,72,,,,,,,,No,0.00,0.00,0.00,0.00,#DIV/0!,#DIV/0!,0.00,0.00,#DIV/0!
"Regence BlueShield of Idaho, Inc.",Washington,79276,0,,0,0,0,,,,Yes,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
Globe Life and Accident Insurance Co,Illinois,79288,,,,,,,,,No,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
